Drug ID,Drug Name,Usage,Warnings,Side Effects,Generic Name,Drug Class
109,Brukinsa,"Brukinsa is used to treat adults with mantle cell lymphoma, Waldenström’s macroglobulinemia, marginal zone lymphoma, chronic lymphocytic leukemia, small lymphocytic lymphoma, and follicular lymphoma. It is an oral capsule or tablet that is taken once or twice a day. Brukinsa (zanubrutinib) was first approved in 2019. There is no generic.",,"diarrhea or constipation; low platelet or other blood cell counts; easy bruising or bleeding; musculoskeletal pain; high blood pressure; a rash; cold or flu symptoms, such as stuffy nose, sneezing, sore throat, or cough.",zanubrutinib,BTK inhibitors
110,Bryhali,"Bryhali is a high-potency, Class I corticosteroid lotion that may be used by adults to reduce inflammation and itching caused by plaque psoriasis. It contains 0.01% halobetasol propionate. Bryhali was approved on November 6, 2018. It contains a lower concentration than other halobetasol propionate lotions which limits its risk of side effects.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use. Bryhali (halobetasol propionate 0.01% lotion) is a highly potent, Class I corticosteroid that can be absorbed through the skin into the bloodstream and cause reversible hypothalamic-pituitary-adrenal (HPA) axis suppression with the potential for glucocorticosteroid insufficiency, including Cushing’s syndrome, hyperglycemia, and glucosuria. Do not use for longer than 2 weeks and do not exceed the recommended dose. Periodic monitoring for HPA suppression may be required.","worsening of your skin condition; redness, warmth, swelling, oozing, or severe irritation of any treated skin; blurred vision, tunnel vision, eye pain, or seeing halos around lights; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; or; possible signs of absorbing this medicine through your skin - weight gain (especially in your face or your upper back and torso), slow wound healing, thinning or discolored skin, increased body hair, muscle weakness, nausea, diarrhea, tiredness, mood changes, menstrual changes, sexual changes.",halobetasol propionate 0.01%,Topical steroids
111,Budesonide (oral),"Oral budesonide is used to treat the following conditions with inflammation as a symptom: Budesonide worksby preventing the activation of inflammatory cells (such as mast cells, eosinophils, and neutrophils) and blocking inflammatory mediators such as histamine and cytokines, which are involved in allergic responses. Exactly how it works for EoE is not fully understood, but inflammation plays a key role in EoE development. It belongs to the drug class called corticosteroids.",,"respiratory tract infection; sore throat; fungal infections of the mouth, throat, and esophagus (thrush); adrenal suppression; headache; acid-related damage to the lining of the esophagus (erosive esophagitis); infection of the stomach and intestine (gastroenteritis).",budesonide,"Glucocorticoids, Inhaled corticosteroids"
112,Budesonide and formoterol (Inhalation),"Budesonide and formoterol combination is used to help control the symptoms of asthma and improve lung function. It is used when a patient's asthma has not been controlled sufficiently on other asthma medicines, or when a patient's condition is so severe that more than one medicine is needed every day. Budesonide and formoterol combination is also used as long-term maintenance treatment of chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema. This medicine helps improve and reduce the number of flare-ups of the symptoms of COPD.","It is very important that your doctor check the progress of you or your child at regular visitsto make sure that this medicine is working properly. Blood and urine tests may be needed to check for any unwanted effects. Although this medicine decreases the number of asthma episodes, it may increase the chances of a severe asthma attack when they do occur. Be sure to read about these risks in the patient information leaflet and talk to your doctor about any questions or concerns that you have.",Body aches or pain; chest tightness; chills; cough; difficulty with breathing; ear congestion; fever; headache; loss of voice; muscle aches; pain or tenderness around the eyes and cheekbones; sneezing; sore throat; stuffy or runny nose; unusual tiredness or weakness,budesonide and formoterol,Bronchodilator combinations
113,"Budesonide, glycopyrrolate, and formoterol inhaler","A budesonide, glycopyrrolate, and formoterol inhaler (Breztri Aerosphere) combines 3 medicines into 1 inhaler and is used as a long-term treatment for COPD (chronic obstructive pulmonary disease) in adults. The 3 medicines are: Budesonide, glycopyrrolate, and formoterol gained FDA approval under the brand name Breztri Aerosphere on July 23, 2020. There is no generic.",,upper respiratory tract infections (such as sinusitis) or the flu; lung infections (such as pneumonia); back pain; oral thrush. Wash your mouth out with water and spit out after using the inhaler to help prevent this; joint pain or muscle spasms; headache; high blood sugar levels; a cough or hoarseness; gastrointestinal effects such as diarrhea or nausea; signs of a urinary tract infection including painful and frequent urination; difficulty sleeping; feeling anxious; heart palpitations.,"Budesonide, glycopyrrolate, and formoterol",Bronchodilator combinations
114,Bunavail,"Bunavail buccal films contains a combination of buprenorphine and naloxone.Buprenorphineis an opioid medication, sometimes called a narcotic.Naloxoneblocks the effects of opioid medication, including pain relief or feelings of well-being that can lead to opioid abuse. Bunavail buccal films are used to treatopioid addiction.","MISUSE OF OPIOID MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH.Keep the medication in a place where others cannot get to it. Using Bunavail during pregnancy may cause life-threatening withdrawal symptoms in the newborn.","any problems with your teeth or gums; weak or shallow breathing, breathing that stops during sleep; a light-headed feeling, like you might pass out; confusion, loss of coordination, extreme weakness; blurred vision, slurred speech; liver problems- upper stomach pain, loss of appetite, dark urine, clay-colored stools,jaundice(yellowing of the skin or eyes); high levels of serotonin in the body-agitation, hallucinations, fever, sweating, shivering,fast heart rate, muscle stiffness, twitching, loss of coordination,nausea,vomiting,diarrhea; low cortisol levels- nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or; opioid withdrawal symptoms- shivering, goose bumps, increased sweating, feeling hot or cold,runny nose, watery eyes, diarrhea, muscle pain.",buprenorphine and naloxone (oral/sublingual),Narcotic analgesic combinations
115,Buprenex Injection,"Buprenex is an opioid medicine used to treat moderate to severe pain in adults and children at least 2 years old. An opioid is sometimes called a narcotic. Buprenex Injection is used to relieve moderate pain that is severe enough to require an opiate pain killer and for which other medicines (e.g., non-opiate pain killers or opiate-containing combination medicines) have not been, or are not expected to be sufficient.","Buprenexmay be habit-forming.Misuse can cause addiction, overdose, or death. Using Buprenex during pregnancy may cause life-threatening withdrawal symptoms in the newborn.","confusion, cold and clammy skin, slow breathing (breathing may stop); feeling light-headed; fast or uneven heart rate,shortness of breath; blue lips or fingernails; or; severeconstipation.",buprenorphine injection,Opioids (narcotic analgesics)
116,Buprenorphine,"Buprenorphine is an opioid medication used to treatopioid use disorder(OUD), acute pain, andchronic pain. Buprenorphine is used for opioid addiction to reduce cravings and withdrawal symptoms without causing euphoria or dangerous side effects and helps prevent relapse. It works by being a substitute for the drug being abused, so the patient has minimal discomfort, which allows the patient to focus on their recovery. Buprenorphine for OUD is used as part of a complete treatment program that also includes counseling and behavioral therapy.","MISUSE OF OPIOID MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep buprenorphine in a place where others cannot get to it.Patient Access to Naloxone for the Emergency Treatment of Opioid Overdose. Patients should have access to naloxone to treat opioid overdose based on the patient’s risk factors for overdose, such as currently using a CNS depressant, a history of an opioid use disorder, or previous opioid overdose.  Having naloxone available is important if the patient has household members (including children) or other close contacts at risk for accidental exposure or overdose. Taking this medicine during pregnancy may cause life-threatening withdrawal symptoms in the newborn.","opioid withdrawal symptoms - shivering, goose bumps, increased sweating, feeling hot or cold,runny nose, watery eyes,diarrhea, muscle pain; noisy breathing, sighing, shallow breathing, breathing that stops during sleep; slow heartbeator weak pulse; a light-headed feeling, like you might pass out; chest pain, trouble breathing; low cortisol levels -nausea,vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or; liver problems - nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools,jaundice(yellowing of the skin or eyes).",buprenorphine,Opioids (narcotic analgesics)
117,"Buprenorphine/naloxone (Oromucosal, Sublingual)","Buprenorphine and naloxonesublingual tabletis used to treat opioid (narcotic) dependence or addiction. Buprenorphine and naloxonebuccal film,sublingual film, orsublingual tabletis used for induction and maintenance treatment of opioid (narcotic) dependence. It should be used in patients who have already been treated with buprenorphine sublingual tablets. When a narcotic medicine is used for a long time, it may become habit-forming, causing mental or physical dependence. Physical dependence may lead to withdrawal side effects if the narcotic is stopped suddenly. Severe withdrawal side effects can usually be prevented when a person is switched to buprenorphine and naloxone combination. It acts on the central nervous system (CNS) to help prevent the withdrawal side effects.","It is very important that your doctor check your progress while you are using this medicine. This will allow your doctor to see if the medicine is working properly and to decide if you should continue to take it. Blood tests may be needed to check for unwanted effects. Do not use this medicine if you have used an MAO inhibitor (MAOI) (eg, isocarboxazid [Marplan®], linezolid [Zyvox®], phenelzine [Nardil®], selegiline [Eldepryl®], tranylcypromine [Parnate®]) within the past 14 days.","Chills; cough; feeling faint, dizzy, or lightheaded; feeling of warmth or heat; fever; flushing or redness of the skin, especially on the face and neck; headache; hoarseness; lower back or side pain; painful or difficult urination; sweating",buprenorphine/naloxone,Narcotic analgesic combinations
118,Bupropion,"Bupropion is anantidepressantmedication used to treat depression andseasonal affective disorder, it also supportssmoking cessationand weight management. Bupropion is the active ingredient inWellbutrinand Zyban, Auvelity contains bupropion and dextromethorphan, and Contrave contains bupropion and naltrexone. Bupropion improves mood regulation and nicotine cravings and, when combined with naltrexone, helps reduce food intake. Bupropion is thought to work by changing levels of certain chemicals in the brain, including noradrenaline and dopamine.","You should not take bupropion if you have seizures, an eating disorder, or suddenly stopped using alcohol, seizure medication, or sedatives. You should not take two medicines together that contain bupropion for example, if you take Wellbutrin for depression, you should not also take Contrave for weight control. Do not use bupropion within 14 days before or 14 days after you have used aMAO inhibitors, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine.","dry mouth, sore throat, stuffy nose; ringing in the ears; blurred vision; nausea, vomiting, stomach pain, loss of appetite, constipation; sleep problems (insomnia); tremors, sweating, feeling anxious or nervous; fast heartbeats; confusion, agitation, hostility; rash; weight loss; increased urination; headache, dizziness; or muscle or joint pain.",bupropion,"Miscellaneous antidepressants, Smoking cessation agents"
119,BuSpar,"BuSpar is an anti-anxiety medicine that affects chemicals in the brain that may be unbalanced in people with anxiety. BuSpar is used to treat anxiety disorders or the symptoms of anxiety, such as fear, tension, irritability, dizziness, pounding heartbeat, and other physical symptoms.","Do not use BuSpar if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, and tranylcypromine. You should not use BuSpar if you are allergic to buspirone.","chest pain; shortness of breath; or; a light-headed feeling, like you might pass out.",buspirone,"Miscellaneous anxiolytics, sedatives and hypnotics"
120,Buspirone,"Buspirone is an anti-anxiety medicine that affects chemicals in the brain that may be unbalanced in people with anxiety. Buspirone is used to treat symptoms of anxiety, such as fear, tension, irritability, dizziness, pounding heartbeat, and other physical symptoms.","Do not use buspirone if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, and tranylcypromine. You should not use buspirone if you are allergic to it.","chest pain; shortness of breath; or; a light-headed feeling, like you might pass out.",buspirone,"Miscellaneous anxiolytics, sedatives and hypnotics"
121,Bystolic,Bystolic belongs to a group of drugs called beta-blockers. Beta-blockers affect the heart and circulation (blood flow through arteries and veins). Bystolic is used to treat hypertension (high blood pressure). Lowering blood pressure may lower your risk of a stroke or heart attack.,"Do not skip doses or stop taking Bystolic without first talking to your doctor. Stopping suddenly may make your condition worse or cause other serious heart problems such as severe chest pain or heart attack. You may need to use less and less before you stop the medication completely. If you need surgery, tell the surgeon ahead of time that you are using Bystolic. Bystolic may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert.","feeling short of breath, even with mild exertion; swelling of your ankles or feet; slow or uneven heartbeats; or; numbness or cold feeling in your hands and feet.",nebivolol,Cardioselective beta blockers
122,Cabenuva,"Cabenuva is a long-actingHIV treatmentgiven monthly or every two months to help maintain undetectable HIV levels.Cabenuva injections work by helping stop HIV from multiplying. Cabenuva contains two co-packaged antiviral medications,cabotegravirandrilpivirine, that are administered as separate injections.These medications are slowly released over time, ensuring a consistent concentration in the bloodstream to effectively suppress the virus and prevent it from multiplying.","This should not be given to people with a history of hypersensitivity reactions to the active ingredients cabotegravir or rilpivirine or to any of the inactive ingredients in the injection kit. Tell your doctor about all your current medicines and any you start or stop using. Many drugs can interact, and some drugs can decrease the effectiveness of Cabenuva and should not be used together.","pain, redness, swelling, itching, bruising, warmth, or a hard lump where an injection was given; fever; nausea; pain in your bones, joints or muscles; feeling tired, sleep problems; headache, dizziness; or; rash.",cabotegravir and rilpivirine,Antiviral combinations
123,Cabometyx,"Cabometyx is an oral tablet taken once a day that is used to treat: Cabometyx is a kinase inhibitor that blocks the action of several tyrosine kinases involved in normal cellular function and processes that support cancer formation, growth, spread, and maintenance of the tumor microenvironment.","Cabometyx may cause a perforation (a hole or tear) or a fistula (an abnormal passageway) within your stomach or intestines. This medicine can also increase your risk of serious bleeding. Call your doctor if you have:severe stomach pain, choking or gagging when you eat or drink, unusual bleeding, bloody or tarry stools,heavy menstrual bleeding, or if you cough up blood.","severeheadache, blurred vision, pounding in your neck or ears; vomiting,diarrhea, orconstipationthat are severe and ongoing; swelling in your hands, arms, legs, or feet; easy bruising or bleeding (nosebleeds, bleeding gums, heavy menstrual bleeding, or any bleeding that will not stop); bloody or tarry stools, cough with bloody mucus or vomit that looks like coffee grounds; jaundice(yellowing of the skin or eyes); pain, blisters, bleeding, or severe rash in the palms of your hands or the soles of your feet; confusion, thinking problems, weakness, vision changes, seizure; a light-headed feeling, like you might pass out; jaw pain or numbness, red or swollen gums, loose teeth, or slow healing after dental work; low blood calcium- muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes; low white blood cell counts- fever, mouth sores, skin sores,sore throat, cough, trouble breathing; adrenal gland problems-nausea, vomiting, extreme tiredness,dizziness, weakness, fainting; or; signs of a stroke or blood clot- sudden numbness or weakness on one side of your body, problems with vision or balance, trouble speaking or understanding what is said to you, chest pain, trouble breathing, swelling or pain in an arm or leg.",cabozantinib,"Multikinase inhibitors, VEGF/VEGFR  inhibitors"
124,Calcitriol,Calcitriol is a form ofvitamin D3. Vitamin D helps your body absorb calcium from the stomach. Calcitriol is used to treathyperparathyroidism(overactive parathyroid glands) and metabolic bone disease in people who have chronickidney failureand are not receiving dialysis.,"You should not use this medicine if you have high levels of calcium or vitamin D in your blood, or if you have ever had an allergic reaction to calcitriol or other forms of vitamin D. You should not use calcitriol if:","dehydration symptoms--feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin; high calcium levels--nausea, vomiting,constipation, increased thirst or urination, muscle weakness, bone pain, confusion, lack of energy, or tired feeling; or; low calcium level--muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes).",calcitriol (oral/injection),Vitamins
125,Calcium carbonate,"Calcium is a mineral that is found naturally in foods. Calcium is necessary for many normal functions of the body, especially bone formation and maintenance. Calcium carbonate is used to prevent or to treat a calcium deficiency.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use. Ask a doctor or pharmacist if it is safe for you to take  calcium carbonate if you have ever had:","little or no urinating; swelling, rapid weight gain; or; high levels of calcium in your blood--nausea,vomiting,constipation, increased thirst or urination, muscle weakness, bone pain, confusion, lack of energy, or feeling tired.",calcium carbonate,"Antacids, Minerals and electrolytes"
126,Calquence,"Calquence (acalabrutinib) is a targeted cancer treatment used forchronic lymphocytic leukemia(CLL), small lymphocytic lymphoma (SLL), andmantle cell lymphoma(MCL), in certain patients. It helps slow the progression of cancer and helps extend patients' lives.Calquence works by blocking a protein called Bruton tyrosine kinase (BTK), which plays a key role in cancer cell growth and division. By inhibiting BTK, Calquence helps to slow cancer growth. Calquence capsules and tablets are taken twice daily.","Bleeding problems.Calquence can make it easier for you to bleed. Contact your doctor or seek emergency medical attention if you have any bleeding that will not stop. Call your doctor at once if you have signs of bleeding inside your body, such as: dizziness, weakness, confusion, headache, speech problems, black or bloody stools, pink or brown urine, or coughing up blood or vomit that looks like coffee grounds.",Infection(65%); Upper respiratory tract infection- URTI (35%); Lower respiratory tract infection - LRTI (18%); Urinary tract infection- UTI (15%); Headache(39%); Dizziness (20%); Diarrhea(35%); Nausea (22%); Musculoskeletal pain (32%); Joint pain(16%); Tiredness (23%); Bruising (21%); Rash(25%); Hemorrhage (20%).,acalabrutinib,BTK inhibitors
127,Camzyos,"Camzyos (mavacamten) is a prescription medicine used to treat symptomatic obstructive hypertrophic cardiomyopathy (HCM), helping improve shortness of breath and the ability to be active.  Camzyos is a cardiac myosin inhibitor that relaxes heart muscles so the heart can fill with more blood and pump blood around your body more effectively. In obstructivehypertrophic cardiomyopathy(HCM), the walls of the heart become excessively thickened and stiff. This reduces blood flow from the heart to your body, which causes symptoms of shortness of breath, rapid heartbeat, feeling light-headed, chest pain, fainting, and tiredness. Camzyos relaxes the heart muscles and reduces heart obstruction, which improves your ability to be active and other symptoms.","Camzyos may cause serious side effects, and carries aBoxed Warning for a risk of heart failure. Heart failure:","heart failuresymptoms, such as shortness of breath, chest pain, tiredness, swelling in your legs, rapid weight gain, or racing or pounding heartbeats.",mavacamten,Miscellaneous cardiovascular agents
128,Candesartan,Candesartan is anangiotensin IIreceptor blocker (sometimes called an ARB). Candesartan is used to treathigh blood pressure(hypertension) in adults and children who are at least 1 year old. Lowering blood pressure may lower your risk of a stroke orheart attack.,"Do not use if you are pregnant. Stop using candesartan and tell your doctor right away if you become pregnant. If you have diabetes,do not take candesartan with any medication that containsaliskiren(a blood pressure medicine).","a light-headed feeling, like you might pass out; little or no urination; or; high potassium level--nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement.",candesartan,Angiotensin receptor blockers
129,Caplyta,"Caplyta is used to treat adults withschizophreniaor depression associated withbipolar 1 or 2 disorder(manic depression). It is taken as a capsule once a day. Clinical trials have reported improvement in the positive and negative symptoms of schizophrenia within one week of starting Caplyta (lumateperone), but symptoms may take longer to resolve when used for depression (seeHow long does it take Caplyta to work?).",,sleepiness; dizziness; nausea; dry mouth.,lumateperone,Atypical antipsychotics
130,Captopril,Captopril is used in adults alone or in combination with other medications to treathigh blood pressure(hypertension) andcongestive heart failure. Captopril is also used to improve survival and reduce the risk of heart failure after a heart attack in patients with a heart condition called left ventricular hypertrophy (enlargement of the walls of the left side of the heart). Captopril is also used to treat kidney disease (nephropathy) caused by diabetes in patients with type 1 diabetes and retinopathy (eye disease).,"Do not use captopril if you are pregnant. Stop using captopril and tell your doctor right away if you become pregnant. If you have diabetes, do not use captopril together with any medication that contains aliskiren (Amturnide, Tekturna, Tekamlo).","chest pain, fast, slow, or uneven heart rate; a light-headed feeling, like you might pass out; heart problems- swelling, rapid weight gain, feeling short of breath; kidney problems- swelling, urinating less, feeling tired or short of breath; signs of infection-fever, chills,sore throat, body aches, unusual tiredness, loss of appetite, bruising or bleeding; high blood potassium-nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; low blood sodium-headache, confusion, problems with thinking or memory, weakness, feeling unsteady; or; low white blood cell counts- fever, mouth sores, skin sores, sore throat,cough.",captopril,Angiotensin Converting Enzyme Inhibitors
131,Carbamazepine,"Carbamazepine is an anticonvulsant. It works by decreasing nerve impulses that cause seizures and nerve pain, such as trigeminal neuralgia and diabetic neuropathy. Carbamazepine is also used to treatbipolar disorder.","You should not take carbamazepine if you have a history of bone marrow suppression, if you are allergic to it, or take an antidepressant such as amitriptyline, desipramine, doxepin, imipramine, or nortriptyline. TELL YOUR DOCTOR ABOUT ALL OTHER MEDICINES YOU USE. Some drugs can raise or lower your blood levels of carbamazepine, which may cause side effects or make this medicine less effective. Carbamazepine can also affect blood levels of certain other drugs, making them less effective or increasing side effects.","a skin rash, no matter how mild; loss of appetite, right-sided upper stomach pain, dark urine; slow, fast, or pounding heartbeats; anemia or other blood problems- fever, chills, sore throat, mouth sores, bleeding gums, nosebleeds, pale skin, easy bruising, unusual tiredness, feeling light-headed or short of breath; or; low levels of sodium in the body-headache, confusion, severe weakness, feeling unsteady, increased seizures.",carbamazepine (oral),Dibenzazepine anticonvulsants
132,Carbidopa and levodopa,"Carbidopa and levodopa may be used alone or in combination with other medication to treat symptoms ofParkinson's disease, such as stiffness or tremors in adults. Carbidopa and levodopa is also used in adults to treat Parkinson's disease caused by infection, carbon monoxide poisoning or manganese intoxication.","Do not use this medicine if you have used a MAO inhibitor in the past 14 days,such asisocarboxazid, linezolid,methylene blueinjection,phenelzine, ortranylcypromine. Some people have thoughts about suicide while taking carbidopa and levodopa.Tell your doctor right away if you have any sudden changes in mood or behavior, or thoughts about suicide.","signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; uncontrolled muscle movements, blurred vision, eye pain or redness, seeing halos around lights; or; severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out.",carbidopa and levodopa,Dopaminergic antiparkinsonism agents
133,Carvedilol,Carvedilol is a beta-blocker. Beta-blockers affect the heart and circulation (blood flow through arteries and veins). Carvedilol is used to treat heart failure and hypertension (high blood pressure). It is also used after a heart attack that has caused your heart not to pump as well.,"You should not take carvedilol if you have asthma, bronchitis, emphysema, severe liver disease, or a serious heart condition such as heart block, ""sick sinus syndrome,"" or slow heart rate (unless you have a pacemaker). Avoid drinking alcohol within 2 hours before or after taking extended-release carvedilol (Coreg CR). Also avoid taking medicines or other products that might contain alcohol. Alcohol may cause the carvedilol in Coreg CR to be released too quickly into the body.","a light-headed feeling, like you might pass out; slow or uneven heartbeats; swelling, rapid weight gain, feeling short of breath (even with mild exertion); cold feeling or numbness in your fingers or toes; chest pain, dry cough, wheezing, chest tightness, trouble breathing; or; high blood sugar (increased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss).",carvedilol,Non-cardioselective beta blockers
134,Carvykti,"Carvykti (ciltacabtagene autoleucel) is a CAR-T therapy used to treat relapsed or refractorymultiple myeloma(RRMM), as early as first relapse.Carvykti is an infusion made from your white blood cells, which have been genetically modified to target and fight multiple myeloma cancer cells. Carvykti may help patients live longer without cancer progressing or passing away. Carvykti is administered as a one-time infusion after the preparation of your personalized infusion.",Tell your doctor if you have ever had: Carvykti is not recommended for women who are pregnant or for women of childbearing potential not using contraception. Pregnant women should be advised that there may be risks to the fetus. Pregnancy after this therapy should be discussed with the treating physician.,"Fever79%; Muscle andjoint pain34%; Tiredness 28%; Diarrhea27%; Headache23%; Low blood pressure23%; Nausea20%; Constipation 10%; Upper respiratory tract infection 25%; Viral infection 23%; Bacterial infection 15%; Cough 15%; Pneumonia14%; Hypoxia - low oxygen levels 12%; Swelling or edema 11%; Feeling confused, agitated or not like yourself (encephalopathy) 11%; Pain 10%; Decreased appetite 10%; Hypogammaglobulinemia (Immune system disorder) 94%; Cytokine release syndrome78%; Low blood test results including low lymphocytes 99%, neutrophils 95%, white blood cells 94%, platelet 47% and hemoglobin 34%.",ciltacabtagene autoleucel,Miscellaneous antineoplastics
135,Casodex,Casodex is an anti-androgen. It works in the body by preventing the actions of androgens (male hormones). Casodex is used to treatprostate cancerthat has spread to other parts of the body (metastatic).,Casodex is used to treat prostate cancer. This medicine should never be taken by a woman or a child. Bicalutamide can harm an unborn baby if you father a child while using this medicine.Use effective birth control to prevent pregnancy while using Casodex and for at least 130 days (about 19 weeks) after your last dose.,"breast pain or swelling; sudden chest pain, wheezing, dry cough, feeling short of breath; low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet; liver problems--nausea, upper stomach pain, feeling tired, loss of appetite, dark urine, clay-colored stools,jaundice(yellowing of the skin or eyes), fever, chills; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; or; (if you also takewarfarin) unusual bruising or bleeding.",bicalutamide,"Antiandrogens, Hormones / antineoplastics"
136,Cefdinir,Cefdinir is a cephalosporin (SEF a low spor in)antibioticthat is used to treat many different types of infections caused by bacteria. Cefdinir may also be used for purposes not listed in this medication guide.,"Do not take  cefdinir if you are allergic to cefdinir, or to similarantibiotics, such as Ceftin, Cefzil, Keflex, and others. You should not take this medicine if you are allergic to cefdinir or any other cephalosporin antibiotic (cefadroxil,cefprozil,cefazolin, cefalexin, Keflex, and others).","severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); fever, chills, body aches, flu symptoms; pale skin, easy bruising, unusual bleeding; seizure (convulsions); fever, weakness, confusion; dark colored urine,jaundice(yellowing of the skin or eyes); or; kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath.",cefdinir,Third generation cephalosporins
137,Cefixime,"Cefixime is an antibiotic that may be used to treat many different types of infections caused by bacteria. Cefixime stops bacteria from forming a cell wall, which bacteria need to survive. This decreases the number of bacteria in your body, which helps your body fight the infection.","You should not take cefixime if you are allergic to cefixime, or to similarantibiotics, such asCeftin,Cefzil,Keflex,Omnicef, and others. Tell your doctor if you are allergic topenicillins. You should not take this medicine if you are allergic to cefixime or to other cephalosporin antibiotics, such as:","severe stomach pain, diarrhea that is watery or bloody; jaundice(yellowing of the skin or eyes); pale or yellowed skin, dark colored urine, confusion or weakness; a seizure (convulsions); low blood cell counts--sudden weakness or ill feeling, fever, chills, flu-like symptoms, swollen gums, mouth sores, skin sores, rapid heart rate, pale skin, easy bruising, unusual bleeding, feeling light-headed; kidney problems--little or no urination, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath; or; severe skin reaction--fever,sore throat, swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling.",cefixime,Third generation cephalosporins
138,Celebrex,"Celebrex is anonsteroidal anti-inflammatory drug(NSAID). It works by reducing hormones that cause inflammation and pain in the body. Celebrex is used to treat pain or inflammation caused by many conditions such asarthritis,ankylosing spondylitis, andmenstrual pain.","Celebrex may cause stomach or intestinal bleeding, which can be fatal. These conditions can occur without warning while you are using this medicine, especially in older adults. You should not take this medicine if you already have bleeding in your stomach or intestines. Celecoxib can increase your risk of fatalheart attackor stroke, even if you don't have any risk factors. Do not use Celebrex just before or after heart bypass surgery (coronary artery bypass graft, or CABG).","the first sign of any skin rash, no matter how mild; heart problems -swelling, rapid weight gain, feeling short of breath; signs of stomach bleeding -bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems -nausea, stomach pain (upper right side), itching, tiredness, dark urine,jaundice(yellowing of the skin or eyes); kidney problems -little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or; low red blood cells (anemia) -pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet.",celecoxib,Cox-2 inhibitors
139,Celecoxib,"Celecoxibis a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Celecoxib is used to treat pain or inflammation caused by many conditions such asarthritis,ankylosing spondylitis, andmenstrual pain.","Celecoxib can increase your risk of fatalheart attackor stroke, even if you don't have any risk factors. Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG). Celecoxib may also cause stomach or intestinal bleeding, which can be fatal. These conditions can occur without warning while you are using this medicine, especially in older adults. You should not take this medicine if you already have bleeding in your stomach or intestines.","the first sign of any skin rash, no matter how mild; heart problems -swelling, rapid weight gain, feeling short of breath; signs of stomach bleeding -bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems -nausea, stomach pain (upper right side), itching, tiredness, dark urine,jaundice(yellowing of the skin or eyes); kidney problems -little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or; low red blood cells (anemia) -pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet.",celecoxib,Cox-2 inhibitors
