Drug Name,Drug Info,Usage,Warnings,Side Effects,Drug Interactions Link
Celecoxib,"
Generic name: celecoxib [ SEL-e-KOX-ib ]
Brand names: CeleBREX, Elyxyb
Drug class: Cox-2 inhibitors","Celecoxibis a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Celecoxib is used to treat pain or inflammation caused by many conditions such asarthritis,ankylosing spondylitis, andmenstrual pain.","Celecoxib can increase your risk of fatalheart attackor stroke, even if you don't have any risk factors. Do not use this medicine just before or after heart bypass surgery (coronary artery bypass graft, or CABG). Celecoxib may also cause stomach or intestinal bleeding, which can be fatal. These conditions can occur without warning while you are using this medicine, especially in older adults. You should not take this medicine if you already have bleeding in your stomach or intestines.","the first sign of any skin rash, no matter how mild;; heart problems -swelling, rapid weight gain, feeling short of breath;; signs of stomach bleeding -bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds;; liver problems -nausea, stomach pain (upper right side), itching, tiredness, dark urine,jaundice(yellowing of the skin or eyes);; kidney problems -little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or; low red blood cells (anemia) -pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet.",https://www.drugs.com/drug-interactions/celecoxib.html
Celexa,"
Pronunciation: suh-leks-uh
Generic name: citalopram
Dosage form: oral tablet (10 mg; 20 mg; 40 mg)
Drug class: Selective serotonin reuptake inhibitors","Celexa is a prescription medicine used to treat severedepressionin adults, called major depressive disorder (MDD). Celexa is a selective serotonin reuptake inhibitor (SSRI) that blocks the reuptake of serotonin (5-HT) by the nerves of the central nervous system, which enhances serotonergic activity. The exact way it works in depression is unclear.","Do not stop taking Celexa without your doctor's advice. Citalopram can cause a serious heart problem.Call your doctor right away if you have chest pain, fast or pounding heartbeats, shortness of breath, and suddendizziness.","sexual problems;; dizziness,drowsiness;; dry mouth, thirst, increased sweating or urination;; loss of appetite, nausea, diarrhea,constipation;; feeling anxious, agitated, or shaky;; feeling weak or tired, sleep problems (insomnia), yawning;; increased muscle movement;; nosebleed,heavy menstrual bleeding; or; cold symptomssuch as stuffy nose, sneezing, orsore throat.","https://www.drugs.com/drug-interactions/citalopram,celexa.html"
Cephalexin,"
Generic name: cephalexin [ sef-a-LEX-in ]
Brand names: Keflex, Biocef, Zartan, Panixine, Daxbia
Dosage forms: oral capsule (250 mg; 500 mg; 750 mg), oral powder for reconstitution (125 mg/5 mL; 250 mg/5 mL), 
... show all 3 dosage forms

oral tablet (250 mg; 500 mg)

Drug class: First generation cephalosporins","Cephalexinis a cephalosporin (SEF a low spor in)antibiotic. It works by fighting bacteria in your body. Cephalexin is used to treat infections caused by bacteria, including upper respiratory infections,ear infections, skin infections,urinary tract infectionsand bone infections.","You should not use this medicine if you are allergic to cephalexin or to similarantibiotics, such asCeftin,Cefzil,Omnicef, and others. Tell your doctor if you are allergic to any drugs, especiallypenicillinsor other antibiotics. Do not use this medicine if you are allergic to cephalexin or to other cephalosporin antibiotics, such as:","severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose);; unusual tiredness, feeling light-headed or short of breath;; easy bruising, unusual bleeding, purple or red spots under your skin;; a seizure;; pale skin, cold hands and feet;; yellowed skin, dark colored urine;; fever, weakness; or; pain in your side or lower back, painful urination.",https://www.drugs.com/drug-interactions/cephalexin.html
Cequa Eye Drops,"
Generic name: cyclosporine ophthalmic [ SYE-kloe-SPOR-een-off-THAL-mik ]
Other brand names of cyclosporine ophthalmic include: Cequa
Drug class: Miscellaneous ophthalmic agents","Cequa is an immunosuppressant. Cequa can increase tear production that has been reduced by inflammation in the eye(s). Cequa is used to treatchronic dry eyethat may be caused by inflammation. Cequa eye drops are packaged in sterile, preservative-free, single-use vials.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions,allergies, and all medicines you use. You should not use Cequa if you are allergic to cyclosporine.","severe eye pain, burning, or stinging after putting in the drops;; swollen eyelids; or; signs of eye infection- swelling, redness, severe discomfort, crusting or drainage.","https://www.drugs.com/drug-interactions/cyclosporine-ophthalmic,cequa.html"
Cetirizine,"
Generic name: cetirizine [ se-TIR-a-zeen ]
Brand name: Zyrtec
Drug class: Antihistamines","Cetirizine is a second generationantihistaminethat reduces the natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Cetirizine is used to treat cold orallergy symptomssuch as sneezing, itching, watery eyes, or runny nose.","Cetirizine can cause side effects that may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be awake and alert. Avoid drinking alcohol. It can increase some of the side effects of cetirizine. Tell your doctor if you regularly use other medicines that make you sleepy (such as other cold or allergy medicine, narcotic pain medicine, sleeping pills, muscle relaxers, and medicine for seizures, depression, or anxiety). They can add to sleepiness caused by cetirizine.","fast, pounding, or uneven heartbeat;; weakness, tremors (uncontrolled shaking), or sleep problems (insomnia);; severe restless feeling, hyperactivity;; confusion;; problems with vision; or; urinating less than usual or not at all.",https://www.drugs.com/drug-interactions/cetirizine.html
Chlorpheniramine,"
Generic name: chlorpheniramine [ KLOR-fen-IR-a-meen ]
Brand names: Aller-Chlor, Allergy Relief (Chlorpheniramine), Ed-Chlor Ped Jr, Wal-finate, Allergy Relief, 
... show all 30 brands

C.P.M., Chlo-Amine, Chlor-Mal, Chlor-Trimeton, ChlorTan, Ed ChlorPed, Ed-Chlortan, PediaTan, Triaminic Allergy, Chlor-Phenit, Ridramin, Chlor-Al Rel, Chlor-Phen, Chlorphen, Efidac-24 Chlorpheniramine, Chlor-Trimeton Allergy SR, QDALL AR, P-Tann, Chlorpheniramine (Allergy), Pediox-S, Ed Chlor-Tan, TanaHist-PD, Pharbechlor, Allergy Time, Chlorphen SR

Dosage forms: oral syrup (2 mg/5 mL), oral tablet (4 mg), oral tablet, extended release (12 mg)
Drug class: Antihistamines","Chlorpheniramine is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Chlorpheniramine is used to treat runny nose, sneezing, itching, and watery eyes caused by allergies, thecommon cold, or the flu.","Always ask a doctor before giving a cough or cold medicine to a child.Death can occur from the misuse of cough and cold medicines in very young children. You should not use  chlorpheniramine if you have narrow-angle glaucoma, a blockage in your stomach or intestines, anenlarged prostate, if you are unable to urinate, or if you are having an asthma attack.","fast or uneven heart rate;; mood changes;; tremor, seizure (convulsions);; easy bruising or bleeding, unusual weakness;; feeling short of breath; or; little or no urinating.",https://www.drugs.com/drug-interactions/chlorpheniramine.html
Chlorthalidone,"
Generic name: chlorthalidone [ klor-THAL-i-done ]
Brand names: Hygroton, Thalitone, Hemiclor
Dosage form: oral tablet (25 mg; 50 mg)
Drug class: Thiazide diuretics","Chlorthalidone is a thiazide diuretic (water pill) that helps prevent your body from absorbing too much salt, which can causefluid retention. Chlorthalidone treats fluid retention (edema) in people with congestiveheart failure,cirrhosisof the liver, or kidney disorders, or edema caused by taking steroids or estrogen.","You should not use chlorthalidone if you are unable to urinate, or if you are allergic tosulfa drugs. You should not use chlorthalidone if you are allergic to it, or if:","a light-headed feeling, like you might pass out;; low sodium--headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady;; low potassium--leg cramps,constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling;; low magnesium--dizziness, irregular heartbeats, feeling jittery, muscle cramps, muscle spasms, cough or choking feeling; or; kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath.",https://www.drugs.com/drug-interactions/chlorthalidone.html
Cholecalciferol,"
Generic name: cholecalciferol (vitamin D3) [ KOE-le-kal-SIF-e-role ]
Brand names: Carlson D, Ddrops, Decara, Delta D3, Enfamil D-Vi-Sol, 
... show all 46 brands

Replesta, Thera-D Rapid Repletion, Vitamin D3, Vitamin D3, D 1000 IU, D3-5, D3-50, D400, Maximum D3, D2000, Liquid Vitamin D-3, Thera-D 2000, Thera-D 4000, D-Vita Drops, Replesta NX, Replesta Children's, D3, Thera-D Sport, D3 1000, Celebrate Vitamin D3 Quick-Melt, Aqueous Vitamin D, UpSpringbaby D, Super-Strength D-5000, Super Daily D3, Optimal-D3, Optimal-D3 Pack, Optimal D3 M Pack, Optimal D3 M, Prevagen, VitaJoy Gummies Daily D, Kid's Super Daily D3, Prevagen Extra Strength, High Potency Vitamin D3, Zarbee's Baby Vitamin D, Happy Sunshine Vitamin D3, D3 Liquid, Vitamin D3 Gummies, Vitamin D3 Bone and Joint Health, Vitafusion Vitamin D3 Gummies, Vitafusion Vitamin D3 Extra Strength Gummies, Osteo-Vit3

Dosage forms: oral capsule (10 mcg; 125 mcg; 1250 mcg; 25 mcg; 250 mcg; 325 mcg; 350 mcg; 50 mcg; 62.5 mcg (0.0625 mg), 
... show all 14 dosage forms

625 mcg), oral liquid (10 mcg/0.25 mL (400 intl units/0.25 mL), 10 mcg/drop, 10 mcg/mL, 125 mcg/0.5 mL, 125 mcg/mL, 1250 mcg/3 mL, 25 mcg/10 mL), oral solution (25 mcg/drop; 250 mcg/mL), oral tablet (-; 10 mcg; 100 mcg; 125 mcg; 1250 mcg; 25 mcg; 250 mcg; 50 mcg), oral tablet, chewable (10 mcg; 25 mcg; 37.5 mcg; 50 mcg), oral tablet, disintegrating (125 mcg; 50 mcg), oral wafer (1250 mcg; 350 mcg)

Drug class: Vitamins",Cholecalciferolisvitamin D3. Vitamin D helps your body absorb calcium. Cholecalciferol is used as a dietary supplement in people who do not get enough vitamin D in their diets to maintain adequate health.,"You should not take cholecalciferol if you have had an allergic reaction to vitamin D, or if you have high levels of calcium or vitamin D in your body, or any condition that makes it hard for your body to absorb nutrients from food (malabsorption). You should not use cholecalciferol if you have had an allergic reaction to vitamin D, or if you have:","chest pain, feeling short of breath;; growth problems (in a child taking cholecalciferol); or; early signs of vitamin D overdose--weakness, metallic taste in your mouth,weight loss, muscle or bone pain,constipation,nausea, andvomiting.",https://www.drugs.com/drug-interactions/cholecalciferol.html
Cialis,"
Generic name: tadalafil [ ta-DAL-a-fil ]
Other brand names of tadalafil include: Adcirca, Cialis
Drug class: Impotence agents",Cialis relaxes muscles of the blood vessels andincreases blood flowto particular areas of the body. Cialis is used to treaterectile dysfunction (impotence)and symptoms ofbenign prostatic hypertrophy(enlarged prostate).,"Do not take Cialis if you are also using a nitrate drug for chest pain or heart problems, including nitroglycerin, isosorbide dinitrate, isosorbide mononitrate, and some recreational drugs such as ""poppers"".Taking tadalafil with a nitrate medicine can cause a sudden and serious decrease in blood pressure. Some medicines can cause unwanted or dangerous effects when used with Cialis.Tell your doctor about all your current medicines, especially riociguat (Adempas).","a light-headed feeling, like you might pass out;; an erection is painful or lasts longer than 4 hours (prolonged erection can damage the penis);; vision changes or sudden vision loss;; ringing in your ears or sudden hearing loss; or; heart attack symptoms- chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating.","https://www.drugs.com/drug-interactions/tadalafil,cialis.html"
Cimzia,"
Pronunciation: CIM-zee-uh
Generic name: certolizumab [ SER-toe-LIZ-oo-mab ]
Dosage form: injection
Drug class: TNF alfa inhibitors","Cimzia injection is used to treatCrohn's disease,rheumatoid arthritis,plaque psoriasis,psoriatic arthritis,polyarticular juvenile idiopathic arthritis, andnon-radiographic axial spondyloarthritisin certain patients. Cimzia works to reduce inflammation and improve symptoms by blocking a protein called TNFα (tumor necrosis factor alpha).  Cimzia (certolizumab  pegol) belongs to the drug classTNF alfa inhibitors. In autoimmune conditions, like Crohn's disease, rheumatoid arthritis, plaque psoriasis, psoriatic arthritis, and non-radiographic axial spondyloarthritis inflammation can be caused or worsened when TNF is released in the body. By Cimzia blocking TNFα there is less inflammation so symptoms of the condition improve.","Cimzia affects your immune system. Serious and sometimes fatal infections may occur. Your risk of infection may be higher if you have diabetes,HIV, a weak immune system,hepatitis B, chronicinfections, if you use certain medications, or if you live in or travel to certain areas.","chest pain, cough, feeling short of breath;; swelling in your neck, underarm, or groin (this swelling may come and go);; fever, night sweats, itching, weight loss, feeling tired;; feeling full after eating only a small amount; or; pain in your upper stomach that may spread to your back or shoulder.","https://www.drugs.com/drug-interactions/certolizumab,cimzia.html"
Cinryze,"
Generic name: complement C1 esterase inhibitor [ KOM-ple-ment-C1 ES-ter-ase-in-HIB-it-or ]
Drug class: Hereditary angioedema agents",Cinryze is a man-made form of a protein that occurs naturally in the blood stream and helps control swelling in the body. People with a condition called hereditary angioedema do not have enough of this protein.Hereditary angioedemacan cause attacks of swelling and symptoms such as stomach problems or trouble breathing. Cinryze is used to prevent attacks of angioedema.,"You should not use Cinryze if have ever had a life-threatening allergic reaction to complement C1 esterase inhibitor. Before you receive Cinryze, tell your doctor if you have a history of stroke or blood clot.","sudden numbness or weakness on one side of the body;; pain, swelling, warmth, or redness in an arm or leg;; sudden severeheadache, confusion, problems with vision, speech, or balance;; chest pain while taking deep breaths; or; fast heart rate.","https://www.drugs.com/drug-interactions/c1-esterase-inhibitor-human,cinryze.html"
Cipro,"
Generic name: ciprofloxacin (oral) [ SIP-roe-FLOX-a-sin ]
Drug class: Quinolones and fluoroquinolones",Cipro is a fluoroquinolone (flor-o-KWIN-o-lone)antibioticthat fights bacteria in the body. Cipro is used to treat different types of bacterial infections. Cipro is also used to treat people who have been exposed toanthraxor certain types ofplague.,"Cipro can cause serious side effects, including tendon problems, nerve damage, serious mood or behavior changes, orlow blood sugar. Stop using this medicine and call your doctor at once if you have:headache, hunger, irritability, numbness, tingling, burning pain, confusion,agitation, paranoia, problems with memory or concentration, thoughts of suicide, or sudden pain or movement problems in any of your joints.","low blood sugar- headache, hunger, irritability,dizziness,nausea,fast heart rate, or feeling shaky;; nerve damage symptoms- numbness, tingling, burning pain in your hands, arms, legs, or feet:; serious mood or behavior changes- nervousness, confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or; signs of tendon rupture- sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions).","https://www.drugs.com/drug-interactions/ciprofloxacin,cipro.html"
Ciprofloxacin,"
Generic name: ciprofloxacin (oral) [ SIP-roe-FLOX-a-sin ]
Brand names: Cipro, Proquin XR
Drug class: Quinolones and fluoroquinolones","Ciprofloxacinis a fluoroquinolone (flor-o-KWIN-o-lone)antibiotic, it is used to treat different types of bacterial infections. It is also used to treat people who have been exposed toanthraxor certain types ofplague. Ciprofloxacin extended-release is only approved for use in adults. Fluoroquinoloneantibioticscan cause serious or disabling side effects that may not be reversible.","Ciprofloxacin can cause serious side effects, including tendon problems, nerve damage, serious mood or behavior changes, orlow blood sugar. Stop using ciprofloxacin and call your doctor at once if you have:headache, hunger, irritability, numbness, tingling, burning pain, confusion,agitation, paranoia, problems with memory or concentration, thoughts of suicide, or sudden pain or movement problems in any of your joints.","low blood sugar- headache, hunger, irritability,dizziness,nausea,fast heart rate, or feeling shaky;; nerve damage symptoms- numbness, tingling, burning pain in your hands, arms, legs, or feet:; serious mood or behavior changes- nervousness, confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or; signs of tendon rupture- sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions).",https://www.drugs.com/drug-interactions/ciprofloxacin.html
Citalopram,"
Generic name: citalopram [ si-TAL-o-pram ]
Brand name: CeleXA
Dosage forms: oral capsule (30 mg), oral solution (10 mg/5 mL), oral tablet (10 mg; 20 mg; 40 mg)
Drug class: Selective serotonin reuptake inhibitors",Citalopram is a prescription medicine used in adults to treatdepression. Citalopram is also used to treat major depressive disorder (MDD).,"Do not stop taking citalopram without your doctor's advice. Citalopram can cause a serious heart problem.Call your doctor right away if you have chest pain, fast or pounding heartbeats, shortness of breath, and suddendizziness.","a light-headed feeling, like you might pass out;; blurred vision, eye pain or redness, seeing halos around lights;; fast or pounding heartbeats, pain or fluttering in your chest,shortness of breath, and sudden dizziness (like you might pass out);; a seizure;; unusual bleeding- nosebleeds, bleeding gums, abnormal vaginal bleeding, any bleeding that will not stop;; manic episodes- racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative;; severe nervous system reaction- very stiff (rigid) muscles, highfever,sweating, confusion, fast or uneven heartbeats, tremors; or; low blood sodium-headache, confusion, problems with thinking or memory, weakness, feeling unsteady.",https://www.drugs.com/drug-interactions/citalopram.html
Claritin,"
Generic name: loratadine [ lor-AT-a-deen ]
Other brand names of loratadine include: Claritin, Claritin Reditab
Dosage forms: oral capsule (10 mg), oral syrup (5 mg/5 mL), oral tablet (10 mg), oral tablet, chewable (5 mg; 10 mg), 
... show all 5 dosage forms

oral tablet, disintegrating (5mg; 10 mg)

Drug class: Antihistamines","Claritin is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Claritin is used to treat sneezing, runny nose, watery eyes, hives, skin rash,hay fever, itching, and other cold orallergy symptoms.","You should not take Claritin if you are allergic to loratadine or to desloratadine (Clarinex). Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","fast or uneven heart rate;; severe headache; or; a light-headed feeling, like you might pass out;","https://www.drugs.com/drug-interactions/loratadine,claritin.html"
Clindamycin,"
Pronunciation: clin-dah-my-cin
Generic name: clindamycin
Brand names: Cleocin HCl, Cleocin Pediatric, Cleocin Phosphate, Cleocin Phosphate ADD-Vantage, Clindesse, ClindaMax Vaginal
Dosage form: oral capsule, oral solution, topical gel, topical foam, injectable solution, intravenous ready-to-use solution
Drug class: Lincomycin derivatives",Clindamycin is anantibioticthat fights bacteria in the body. Clindamycin is used to treat seriousinfectionscaused by bacteria.,,nausea or vomiting; stomach (abdominal) pain; mild skin rash; vaginal itching or discharge.,https://www.drugs.com/drug-interactions/clindamycin.html
Clobetasol,"
Generic name: clobetasol topical [ kloe-BAY-ta-sol ]
Brand names: Clobex, Clodan, Impoyz, Olux, Olux-E, 
... show all 17 brands

Temovate, Tovet, Temovate E, Cormax, Embeline E, Clobevate, Embeline, Olux/Olux-E Kit, Cormax Scalp, Tovet Kit, Clobetasol (Eqv-Temovate E), Clobetasol (Eqv-Temovate)

Drug class: Topical steroids","Clobetasol is used to treat the itching, redness, dryness, crusting, scaling, inflammation, and discomfort of various scalp and skin conditions, includingplaque psoriasis(a skin disease in which red, scaly patches form on some areas of the body) and eczema (a skin disease that causes the skin to be dry and itchy and sometimes to develop red, scaly rashes). Clobetasol is also used to treatlichen sclerosus. Clobetasol is a highly potent corticosteroid that helps reduce inflammation in the body. It works by activating natural substances in the skin to reduce swelling, redness, and itching.","Do not use clobetasol topical to treat acne, rosacea, or a rash around the mouth. Use care when putting on a large part of the skin or where there are open wounds. Talk with the doctor.","worsening of your skin condition;; redness, warmth, swelling, oozing, or severe irritation of any treated skin;; blurred vision, tunnel vision, eye pain, or seeing halos around lights;; high blood sugar- increased thirst, increased urination, dry mouth, fruity breath odor; or; possible signs of absorbing this medicine through your skin- weight gain in your face and shoulders, slow wound healing, skin discoloration, thinning skin, increased body hair, tiredness, mood changes, menstrual changes, sexual changes.",https://www.drugs.com/drug-interactions/clobetasol-topical.html
Clobex,"
Generic name: clobetasol topical [ kloe-BAY-ta-sol ]
Other brand names of clobetasol topical include: Clobex, Clodan, Impoyz, Olux, Olux-E, Temovate, Tovet
Drug class: Topical steroids",Clobetasolis a highly potent steroid that helps reduce inflammation in the body. Clobex (for the skin) is used to treat inflammation anditchingcaused byplaque psoriasisorskin conditionsthat respond to steroid medication.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use. You should not use Clobex if you are allergic to it.","worsening of your skin condition;; redness, warmth, swelling, oozing, or severe irritation of any treated skin;; blurred vision, tunnel vision, eye pain, or seeing halos around lights;; high blood sugar--increased thirst, increased urination,dry mouth, fruity breath odor; or; possible signs of absorbing  Clobex through your skin--weight gain in your face and shoulders, slow wound healing, skin discoloration, thinning skin, increased body hair, tiredness, mood changes, menstrual changes, sexual changes.","https://www.drugs.com/drug-interactions/clobetasol-topical,clobex.html"
Clodan,"
Generic name: clobetasol topical [ kloe-BAY-ta-sol ]
Other brand names of clobetasol topical include: Clobex, Clodan, Impoyz, Olux, Olux-E, Temovate, Tovet
Drug class: Topical steroids",Clobetasolis a highly potent steroid that helps reduce inflammation in the body. Clodan (for the skin) is used to treat inflammation anditchingcaused byplaque psoriasisorskin conditionsthat respond to steroid medication.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use. You should not use Clodan if you are allergic to it.","worsening of your skin condition;; redness, warmth, swelling, oozing, or severe irritation of any treated skin;; blurred vision, tunnel vision, eye pain, or seeing halos around lights;; high blood sugar--increased thirst, increased urination,dry mouth, fruity breath odor; or; possible signs of absorbing  Clodan through your skin--weight gain in your face and shoulders, slow wound healing, skin discoloration, thinning skin, increased body hair, tiredness, mood changes, menstrual changes, sexual changes.","https://www.drugs.com/drug-interactions/clobetasol-topical,clodan.html"
Clonazepam,"
Generic name: clonazepam [ kloe-NAZ-e-pam ]
Brand names: KlonoPIN, KlonoPIN Wafer
Dosage forms: oral tablet (0.5 mg; 1 mg; 2 mg), oral tablet, disintegrating (0.125 mg; 0.25 mg; 0.5 mg; 1 mg; 2 mg)
Drug classes: Benzodiazepine anticonvulsants, Benzodiazepines",Clonazepamis a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It is thought that benzodiazepines work by enhancing the activity of certain neurotransmitters in the brain. Clonazepam is used to treat certain seizure disorders (including absenceseizuresorLennox-Gastaut syndrome) in adults and children.,"Clonazepam can slow or stop your breathing, especially if you have recently used an opioid medication, alcohol, or other drugs that can slow your breathing. MISUSE OF CLONAZEPAM CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it.Never share clonazepam with another person.Selling or giving away this medicine is against the law.","new or worsening seizures;; severe drowsiness;; weak or shallow breathing;; unusual changes in mood or behavior;; confusion, paranoia, nightmares, hallucinations;; thoughts of suicide or hurting yourself;; unusual or involuntary eye movements.",https://www.drugs.com/drug-interactions/clonazepam.html
Clonidine,"
Generic name: clonidine (oral) [ KLOE-ni-deen ]
Brand names: Catapres, Kapvay, Onyda XR
Dosage forms: oral tablet (0.1 mg; 0.2 mg; 0.3 mg), oral tablet extended release (0.1 mg/12 hr), extended-release oral suspension (0.1 mg/mL)
Drug class: Antiadrenergic agents, centrally acting",Clonidinelowers blood pressure by decreasing the levels of certain chemicals in your blood. This allows your blood vessels to relax and your heart to beat more slowly and easily. Clonidine is used to treat hypertension (high blood pressure).,"Before you take clonidine, tell your doctor if you have heart disease or severe coronary artery disease, a heart rhythm disorder, slow heartbeats, low blood pressure, a history of heart attack or stroke, kidney disease, or if you have ever had an allergic reaction to a Catapres TTS transdermal skin patch. Use only as directed. Tell your doctor if you use other medicines or have other medical conditions orallergies.","severe chest pain, shortness of breath, irregular heartbeats;; a veryslow heart rate; or; a light-headed feeling, like you might pass out.",https://www.drugs.com/drug-interactions/clonidine.html
Clopidogrel,"
Generic name: clopidogrel [ kloe-PID-oh-grel ]
Brand name: Plavix
Dosage form: oral tablet (300 mg; 75 mg)
Drug class: Platelet aggregation inhibitors","Clopidogrel is used to lower your risk of having a stroke, blood clot, or serious heart problem after you've had aheart attack, severe chest pain (angina), or circulation problems. Clopidogrel may also be used for purposes not listed in this medication guide.","You should not use  clopidogrel if you have any active bleeding such as astomach ulceror bleeding in the brain. Clopidogrel increases your risk of bleeding, which can be severe or life-threatening.Call your doctor or seek emergency medical attention if you have bleeding that will not stop, if you have blood in your urine, black or bloody stools, or if you cough up blood or vomit that looks like coffee grounds.","nosebleeds, pale skin, easy bruising, purple spots under your skin or in your mouth;; jaundice (yellowing of your skin or eyes);; fast heartbeats,shortness of breath;; headache, fever, weakness, feeling tired;; little or no urination;; a seizure;; low blood sugar--headache, hunger, sweating, irritability, dizziness,fast heart rate, and feeling anxious or shaky; or; signs of a blood clot--sudden numbness or weakness, confusion, problems with vision or speech.",https://www.drugs.com/drug-interactions/clopidogrel.html
Clotrimazole,"
Generic name: clotrimazole [ kloe-TRIM-a-zole ]
Brand name: Mycelex Troche
Dosage form: oral lozenge (10 mg)
Drug classes: Azole antifungals, Mouth and throat products",Clotrimazole is used to treat and prevent yeast infections of the mouth and throat in adults and children older than 3 years. The clotrimazole lozenge is not absorbed through your stomach.  clotrimazole will not treatfungal infectionsin any other part of your body.,Use only as directed. Tell your doctor if you use other medicines or have other medical conditions or allergies. You should not use clotrimazole if you are allergic to it.,"abnormal liver function tests;; nausea,vomiting;; itching, or; an unpleasant sensation in the mouth.",https://www.drugs.com/drug-interactions/clotrimazole.html
Clozapine,"
Generic name: clozapine [ KLOE-za-peen ]
Brand names: Clozaril, FazaClo, Versacloz, Clopine, CloZAPine Synthon, Denzapine, Zaponex
Drug class: Atypical antipsychotics",Clozapineis an antipsychotic medicine. It works by changing the actions of chemicals in the brain. Clozapine is used to treatschizophreniain adults after other treatments have failed.,"Clozapine affects your immune system. You may get infections more easily, even serious or fatal infections. Call your doctor if you have a fever,sore throat, weakness, or lack of energy. Clozapine can increase your risk of seizure, especially at high doses. Avoid any activity that could be dangerous if you have a seizure or lose consciousness.","fever, flu-like symptoms, extreme weakness;; mouth sores, skin sores;; new or worsening cough, trouble breathing;; pain or burning when you urinate; or; vaginal itching or discharge.",https://www.drugs.com/drug-interactions/clozapine.html
Cobenfy,"
Pronunciation: co-BEN-fee
Generic name: xanomeline and trospium chloride
Dosage form: capsules (50mg/20mg, 100mg/20mg, 125mg/30mg) xanomeline/trospium
Drug class: Psychotherapeutic combinations","Cobenfy (xanomeline and trospium chloride) is a new treatment forschizophreniaused to improve positive and negative symptoms. Cobenfy contains xanomeline, which helps schizophrenia symptoms, and trospium, which works to reduce the side effects. Cobenfy is a new class of medicine and works differently than traditional schizophrenia medications so it doesnothave a boxed warning and atypical antipsychotic class warnings and precautions. Schizophrenia is related to imbalances in messenger systems in the brain involving muscarinic acetylcholine and dopamine. It is thought that Cobenfy works by xanomeline activating muscarinic receptors  (M1and M4) in the brain (central nervous system), which improves schizophrenia. Trospium chloride cannot enter the brain easily, so it works mainly around the body, reducing side effects by blocking muscarinic receptors.",,"feeling sick (nausea),; indigestion(dyspepsia),; constipation,; vomiting,; high blood pressure(hypertension),; abdominal pain,; diarrhea,; fast heart rate (tachycardia),; dizziness,; and heartburn (gastrointestinal reflux disease).","https://www.drugs.com/drug-interactions/trospium-xanomeline,cobenfy.html"
Codeine,"
Generic name: codeine [ KOE-deen ]
Drug classes: Antitussives, Opioids (narcotic analgesics)","Codeine is an opioidpain relieverwhich is used to treat mild to moderately severepainand to help reducecoughing. Codeine is available as a single ingredient tablet and also available in multi ingredients products combined with other pain relieving medicines or cold and flu medicines. You should not use codeine if you have severe breathing problems, a blockage in your stomach or intestines, or frequentasthmaattacks or hyperventilation.","You should not use codeine if you have severe breathing problems, a blockage in your stomach or intestines, or frequentasthmaattacks or hyperventilation. Codeine can slow or stop your breathing, cause profound sedation, and may be habit-forming.MISUSE OF THIS MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription.","noisy breathing, sighing, shallow breathing, breathing that stops during sleep;; aslow heart rateor weak pulse;; a light-headed feeling, like you might pass out;; confusion,agitation, hallucinations, unusual thoughts or behavior;; feelings of extreme happiness or sadness;; seizure (convulsions);; problems with urination; or; low cortisol levels--nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness.",https://www.drugs.com/drug-interactions/codeine.html
